numActors,numObservers,numNorms,flatness,lifetime,sanctionRate,probIgnorance,propMissing,sensorReliability,masterSeed,ff,fp,fo,pf,pp,po,of,op,oo,sizeFocalSet
100,1,10,3.0,200,1.0,0.1,0.1,0.99,3164424026262007345,4,0,0,2,1,0,0,0,3,21
100,1,12,3.0,25,1.0,0.1,0.1,0.99,3164424026262007345,4,0,0,2,1,0,0,0,5,9
100,1,12,3.0,50,1.0,0.1,0.1,0.99,3164424026262007345,4,0,0,1,2,0,0,0,5,12
100,1,12,3.0,100,1.0,0.1,0.1,0.99,3164424026262007345,4,0,0,0,3,0,0,0,5,14
100,1,12,3.0,200,1.0,0.1,0.1,0.99,3164424026262007345,4,0,0,3,0,0,0,0,5,25
100,1,3,3.0,25,1.0,0.1,0.1,0.99,-2944147162720847040,0,0,0,0,2,0,0,0,1,6
100,1,3,3.0,50,1.0,0.1,0.1,0.99,-2944147162720847040,0,0,0,0,2,0,0,0,1,6
100,1,3,3.0,100,1.0,0.1,0.1,0.99,-2944147162720847040,0,0,0,0,2,0,0,0,1,6
100,1,3,3.0,200,1.0,0.1,0.1,0.99,-2944147162720847040,0,0,0,0,2,0,0,0,1,8
100,1,5,3.0,25,1.0,0.1,0.1,0.99,-2944147162720847040,2,0,0,1,1,0,0,0,1,6
100,1,5,3.0,50,1.0,0.1,0.1,0.99,-2944147162720847040,2,0,0,1,1,0,0,0,1,5
100,1,5,3.0,100,1.0,0.1,0.1,0.99,-2944147162720847040,2,0,0,1,1,0,0,0,1,10
100,1,5,3.0,200,1.0,0.1,0.1,0.99,-2944147162720847040,2,0,0,0,2,0,0,0,1,7
100,1,10,3.0,25,1.0,0.1,0.1,0.99,-2944147162720847040,4,0,0,1,1,0,0,0,4,5
100,1,10,3.0,50,1.0,0.1,0.1,0.99,-2944147162720847040,4,0,0,1,1,0,0,0,4,10
100,1,10,3.0,100,1.0,0.1,0.1,0.99,-2944147162720847040,4,0,0,0,2,0,0,0,4,10
100,1,10,3.0,200,1.0,0.1,0.1,0.99,-2944147162720847040,4,0,0,0,2,0,0,0,4,18
100,1,12,3.0,25,1.0,0.1,0.1,0.99,-2944147162720847040,4,0,0,2,2,0,0,0,4,12
100,1,12,3.0,50,1.0,0.1,0.1,0.99,-2944147162720847040,4,0,0,1,3,0,0,0,4,19
100,1,12,3.0,100,1.0,0.1,0.1,0.99,-2944147162720847040,4,0,0,1,3,0,0,0,4,20
100,1,12,3.0,200,1.0,0.1,0.1,0.99,-2944147162720847040,4,0,0,0,4,0,0,0,4,25
100,1,3,3.0,25,1.0,0.1,0.1,0.99,5617529588676723769,0,0,0,1,1,0,0,0,1,4
100,1,3,3.0,50,1.0,0.1,0.1,0.99,5617529588676723769,0,0,0,1,1,0,0,0,1,5
100,1,3,3.0,100,1.0,0.1,0.1,0.99,5617529588676723769,0,0,0,0,2,0,0,0,1,8
100,1,3,3.0,200,1.0,0.1,0.1,0.99,5617529588676723769,0,0,0,0,2,0,0,0,1,10
100,1,5,3.0,25,1.0,0.1,0.1,0.99,5617529588676723769,0,0,0,2,2,0,0,0,1,12
100,1,5,3.0,50,1.0,0.1,0.1,0.99,5617529588676723769,0,0,0,2,2,0,0,0,1,16
100,1,5,3.0,100,1.0,0.1,0.1,0.99,5617529588676723769,0,0,0,2,2,0,0,0,1,17
100,1,5,3.0,200,1.0,0.1,0.1,0.99,5617529588676723769,0,0,0,2,2,0,0,0,1,22
100,1,10,3.0,25,1.0,0.1,0.1,0.99,5617529588676723769,4,0,0,4,0,0,0,0,2,11
100,1,10,3.0,50,1.0,0.1,0.1,0.99,5617529588676723769,4,0,0,3,1,0,0,0,2,16
100,1,10,3.0,100,1.0,0.1,0.1,0.99,5617529588676723769,4,0,0,3,1,0,0,0,2,21
100,1,10,3.0,200,1.0,0.1,0.1,0.99,5617529588676723769,4,0,0,3,1,0,0,0,2,29
100,1,12,3.0,25,1.0,0.1,0.1,0.99,5617529588676723769,4,0,0,4,0,0,0,0,4,8
100,1,12,3.0,50,1.0,0.1,0.1,0.99,5617529588676723769,4,0,0,3,1,0,0,0,4,19
100,1,12,3.0,100,1.0,0.1,0.1,0.99,5617529588676723769,4,0,0,4,0,0,0,0,4,20
100,1,12,3.0,200,1.0,0.1,0.1,0.99,5617529588676723769,4,0,0,1,3,0,0,0,4,27
100,1,3,3.0,25,1.0,0.1,0.1,0.99,8883246092733080846,2,0,0,0,0,0,0,0,1,2
100,1,3,3.0,50,1.0,0.1,0.1,0.99,8883246092733080846,2,0,0,0,0,0,0,0,1,4
100,1,3,3.0,100,1.0,0.1,0.1,0.99,8883246092733080846,2,0,0,0,0,0,0,0,1,4
100,1,3,3.0,200,1.0,0.1,0.1,0.99,8883246092733080846,2,0,0,0,0,0,0,0,1,5
